timestamp,region,subba-name,parent,parent-name,demand,value-units,supply
2024-06-07T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14966,megawatthours,
2024-06-06T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14741,megawatthours,
2024-06-06T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13823,megawatthours,
2024-06-06T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13665,megawatthours,
2024-06-06T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13056,megawatthours,
2024-06-06T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12962,megawatthours,
2024-06-06T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13164,megawatthours,
2024-06-06T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13013,megawatthours,
2024-06-06T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12570,megawatthours,
2024-06-06T15,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12128,megawatthours,
2024-06-06T14,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11669,megawatthours,
2024-06-06T13,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11576,megawatthours,
2024-06-06T12,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11757,megawatthours,
2024-06-06T11,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12232,megawatthours,
2024-06-06T10,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12514,megawatthours,
2024-06-06T09,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13589,megawatthours,
2024-06-06T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14365,megawatthours,
2024-06-06T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,15774,megawatthours,
2024-06-06T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,17218,megawatthours,
2024-06-06T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,17971,megawatthours,
2024-06-06T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,18477,megawatthours,
2024-06-06T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,18318,megawatthours,
2024-06-06T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,17670,megawatthours,
2024-06-06T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,16735,megawatthours,
2024-06-06T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,16139,megawatthours,
2024-06-05T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,15090,megawatthours,
2024-06-05T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14951,megawatthours,
2024-06-05T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14415,megawatthours,
2024-06-05T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13438,megawatthours,
2024-06-05T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13159,megawatthours,
2024-06-05T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13254,megawatthours,
2024-06-05T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13018,megawatthours,
2024-06-05T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12971,megawatthours,
2024-06-05T15,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12381,megawatthours,
2024-06-05T14,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11436,megawatthours,
2024-06-05T13,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11125,megawatthours,
2024-06-05T12,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11371,megawatthours,
2024-06-05T11,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11526,megawatthours,
2024-06-05T10,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11998,megawatthours,
2024-06-05T09,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12688,megawatthours,
2024-06-05T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13445,megawatthours,
2024-06-05T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14649,megawatthours,
2024-06-05T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,15844,megawatthours,
2024-06-05T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,16367,megawatthours,
2024-06-05T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,16590,megawatthours,
2024-06-05T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,16170,megawatthours,
2024-06-05T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,15217,megawatthours,
2024-06-05T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,14164,megawatthours,
2024-06-05T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13333,megawatthours,
2024-06-04T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12136,megawatthours,
2024-06-04T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11612,megawatthours,
2024-06-04T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11466,megawatthours,
2024-06-04T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11282,megawatthours,
2024-06-04T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11411,megawatthours,
2024-06-04T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11377,megawatthours,
2024-06-04T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11732,megawatthours,
2024-06-04T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11402,megawatthours,
